Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-09-10T13:31:00Z,QQQ,369.138018522,-41,Market,Filled,-15134.658759402,"Liquidated" 
2021-09-10T13:31:00Z,QQQ,369.138018522,41,Market,Filled,15134.658759402,"" 
2021-09-10T13:31:00Z,SPY,421.859183508,36,Market,Filled,15186.930606288,"" 
2021-09-17T13:31:00Z,SPY,420.158517282,-36,Market,Filled,-15125.706622152,"Liquidated" 
2021-09-17T13:31:00Z,QQQ,368.009602306,-41,Market,Filled,-15088.393694546,"Liquidated" 
2021-09-17T13:31:00Z,GLD,164.03,93,Market,Filled,15254.79,"" 
2021-09-17T13:31:00Z,QQQ,368.009602306,41,Market,Filled,15088.393694546,"" 
2021-09-24T13:31:00Z,QQQ,363.226908682,-41,Market,Filled,-14892.303255962,"Liquidated" 
2021-09-24T13:31:00Z,GLD,163.51,-93,Market,Filled,-15206.43,"Liquidated" 
2021-09-24T13:31:00Z,GLD,163.51,92,Market,Filled,15042.92,"" 
2021-09-24T13:31:00Z,QQQ,363.226908682,41,Market,Filled,14892.303255962,"" 
2021-10-01T13:31:00Z,QQQ,348.599668164,-41,Market,Filled,-14292.586394724,"Liquidated" 
2021-10-01T13:31:00Z,GLD,164.22,-92,Market,Filled,-15108.24,"Liquidated" 
2021-10-01T13:31:00Z,SPY,404.5095097,23,Market,Filled,9303.7187231,"" 
2021-10-01T13:31:00Z,QQQ,348.599668164,28,Market,Filled,9760.790708592,"" 
2021-10-08T13:31:00Z,SPY,413.4831093,-23,Market,Filled,-9510.1115139,"Liquidated" 
2021-10-08T13:31:00Z,QQQ,353.478661173,-28,Market,Filled,-9897.402512844,"Liquidated" 
2021-10-08T13:31:00Z,SPY,413.4831093,23,Market,Filled,9510.1115139,"" 
2021-10-08T13:31:00Z,GLD,164.16,91,Market,Filled,14938.56,"" 
2021-10-15T13:31:00Z,SPY,417.1027125,-23,Market,Filled,-9593.3623875,"Liquidated" 
2021-10-15T13:31:00Z,GLD,168,-91,Market,Filled,-15288,"Liquidated" 
2021-10-15T13:31:00Z,SPY,417.1027125,35,Market,Filled,14598.5949375,"" 
2021-10-15T13:31:00Z,QQQ,357.042955467,42,Market,Filled,14995.804129614,"" 
2021-10-22T13:31:00Z,SPY,427.55620195,-35,Market,Filled,-14964.46706825,"Liquidated" 
2021-10-22T13:31:00Z,QQQ,367.404729043,-42,Market,Filled,-15430.998619806,"Liquidated" 
2021-10-22T13:31:00Z,GLD,166.75,93,Market,Filled,15507.75,"" 
2021-10-22T13:31:00Z,SPY,427.55620195,36,Market,Filled,15392.0232702,"" 
2021-10-29T13:31:00Z,SPY,432.0147236,-36,Market,Filled,-15552.5300496,"Liquidated" 
2021-10-29T13:31:00Z,GLD,168.08,-93,Market,Filled,-15631.44,"Liquidated" 
2021-10-29T13:31:00Z,GLD,168.08,93,Market,Filled,15631.44,"" 
